k,n,estimated_n
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,4
24,24,1
25,25,1
26,25,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,1
41,41,1
42,42,1
43,43,1
44,44,3
45,45,1
46,45,1
47,47,1
48,48,2
49,49,1
50,50,1
51,51,1
52,50,1
53,53,1
54,54,1
55,55,2
56,55,2
57,57,1
58,58,1
59,59,1
60,60,6
61,60,1
62,62,1
63,63,6
64,63,1
65,65,1
66,66,1
67,67,1
68,68,1
69,69,1
70,69,3
71,71,1
72,71,1
73,72,1
74,74,1
75,75,1
76,76,1
77,77,9
78,77,1
79,79,1
80,80,2
81,81,1
82,82,5
83,83,1
84,84,1
85,84,3
86,86,1
87,86,1
88,87,1
89,89,2
90,90,1
91,91,2
92,91,2
93,93,1
94,94,1
95,94,6
96,95,1
97,96,43
98,97,1
99,99,12
100,100,2
101,101,2
102,102,1
103,103,2
104,101,1
105,103,4
106,106,1
107,106,2
108,108,1
109,109,1
110,110,2
111,110,1
112,111,1
113,112,1
114,113,1
115,114,4
116,116,4
117,117,1
118,117,1
119,118,1
120,120,1
121,120,1
122,122,1
123,123,1
124,124,2
125,124,1
126,125,2
127,127,1
128,127,1
129,129,5
130,130,3
131,130,1
132,132,1
133,133,1
134,132,3
135,134,1
136,135,1
137,137,3
138,138,1
139,136,1
140,140,1
141,141,2
142,140,2
143,143,1
144,142,1
145,144,1
146,144,5
147,144,1
148,147,1
149,146,1
150,149,1
151,148,2
152,151,2
153,152,3
154,154,1
155,154,1
156,156,2
157,156,25
158,157,1
159,159,7
160,159,1
161,161,1
162,161,1
163,159,4
164,163,4
165,162,2
166,165,2
167,166,28
168,167,2
169,167,1
170,169,12
171,170,2
172,171,2
173,173,5
174,174,2
175,174,9
176,172,1
177,176,2
178,178,14
179,177,1
180,178,5
181,179,4
182,182,1
183,182,12
184,184,2
185,183,1
186,185,12
187,184,4
188,185,1
189,188,5
190,187,4
191,190,1
192,189,1
193,192,2
194,189,4
195,193,3
196,195,1
197,195,2
198,195,9
199,198,1
200,200,3
201,200,6
202,200,10
203,202,3
204,202,5
205,202,1
206,198,21
207,205,1
208,206,2
209,207,5
210,210,9
211,208,2
212,209,3
213,211,2
214,211,10
215,212,2
216,213,4
217,216,3
218,217,1
219,216,2
220,219,2
221,217,3
222,217,13
223,223,8
224,222,1
225,223,4
226,224,2
227,225,2
228,226,4
229,225,8
230,221,1
231,226,2
232,230,12
233,231,2
234,229,6
235,229,1
236,233,3
237,235,11
238,230,21
239,236,11
240,237,2
241,240,9
242,238,1
243,239,6
244,240,21
245,243,5
246,245,2
247,246,8
248,245,4
249,239,5
250,243,2
251,247,4
252,246,7
253,250,4
254,249,8
255,248,7
256,252,3
257,254,10
258,257,7
259,254,2
260,259,2
261,254,4
262,258,4
263,255,52
264,261,9
265,264,32
266,262,2
267,265,1
268,267,2
269,263,3
270,267,1
271,267,2
272,270,4
273,267,8
274,269,6
275,270,4
276,272,2
277,271,1
278,276,3
279,275,7
280,279,14
281,273,15
282,275,4
283,281,1
284,284,3
285,283,4
286,282,8
287,282,9
288,283,12
289,286,8
290,279,2
291,290,23
292,287,5
293,289,2
294,288,5
295,290,1
296,293,3
297,292,2
298,295,135
299,296,2
300,297,4
301,294,2
302,298,3
303,300,2
304,300,7
305,302,4
306,299,2
307,300,10
308,298,2
309,306,4
310,302,7
311,305,12
312,308,5
313,311,3
314,311,6
315,312,12
316,309,2
317,311,1
318,315,2
319,312,12
320,313,11
321,319,3
322,316,8
323,321,4
324,321,1
325,320,3
326,320,5
327,323,3
328,324,2
329,321,3
330,325,7
331,325,5
332,322,8
333,328,4
334,329,1
335,330,11
336,328,1
337,330,4
338,335,6
339,335,11
340,335,2
341,336,52
342,333,4
343,339,9
344,334,21
345,336,2
346,341,5
347,340,7
348,339,11
349,344,21
350,343,1
351,344,8
352,347,4
353,350,6
354,344,9
355,351,4
356,351,11
357,353,4
358,349,2
359,354,1
360,358,5
361,359,3
362,361,17
363,355,4
364,358,5
365,357,2
366,359,4
367,359,9
368,363,2
369,364,2
370,365,4
371,364,4
372,365,5
373,364,6
374,365,6
375,368,2
376,368,3
377,371,7
378,370,7
379,370,3
380,375,2
381,372,2
382,373,7
383,373,11
384,379,6
385,380,2
386,377,6
387,380,6
388,379,4
389,380,5
390,381,5
391,378,5
392,383,1
393,382,6
394,387,4
395,388,4
396,391,4
397,384,4
398,389,12
399,390,14
400,395,6
401,383,12
402,400,13
403,391,5
404,399,2
405,399,32
406,400,4
407,399,37
408,395,14
409,394,4
410,400,11
411,403,19
412,408,5
413,408,9
414,405,11
415,404,14
416,408,65
417,410,2
418,408,5
419,411,7
420,408,8
421,408,2
422,412,21
423,416,6
424,417,5
425